7 Value, Traditional or Chicken & Prawn Pizzas, 4 x Garlic Bread, 6 x Chicken Sides, 4 x 1.25L Drinks from $148.95|148.95|P007D,S00001,S00026,D001A
3 Traditional Pizzas from $34.95|34.95|P007D
2 Sides (Garlic Bread, Salted Caramel Chocolate Mousse, Cheesy Garlic Bread, Oven Baked Chips, Chocolate Lava Cake, Mini Dutch Pancakes, Battered Bananas and 1.25L Drink) from $7.00 |7.00|S00001,S00001
1 Traditional Pizzas + Any 2 Sides from $25.00 (incl. Brownies, 5pk Chicken)|25.00|P007D,S00001
Garlic Bread, 1.25L Coke for $5.00|5.00|S00001,D001A
3 Traditional Pizzas + Any 3 Sides from $39.95 (Choose from Mini Dutch Pancakes, Chocolate Mousse, Garlic Bread and 1.25L Drink)|39.95|P007D,S00001,D001A,S00067
1 Traditional Pizza from $13.95|13.95|P007D
2 Traditional Pizzas from $19.95|19.95|P007D
3 Traditional Pizzas from $33.95|33.95|P007D
3 Traditional Pizzas from $22.95|22.95|P007D
2 Medium Pizza for €15 total|15.00|PGOU
3 Traditional Pizzas from $21.95|21.95|P007D
Menu Big One S - 1 Cheesy Bread + 1 Pizza Medium + 1 Boisson 33cl (sauf Bière) = 18€|18.00|PSBP,EBCHE,DCOK
Menu Family (avec Signature / Bogo) - 1 entrée + 2 Pizzas Signatures + 1 Boisson 1,5L = 31€|31.00|P4FR,EBCHE,DCOK
1 Traditional Pizza + Garlic Bread, 1.5L Pepsi from $16.99|16.99|P007D,S00001,D102C
2 Traditional Pizzas + Any 2 Sides from $29.95|29.95|P007D,S00001,D001A
3 Traditional Pizzas + 1.25L Coke, Chicken Kickers 10 Pack from $39.85|39.85|P007D,D001A,S00010
Menu Big Party S - 3 Pizzas Signatures + 1 Box Chicken + 1 boisson 1.5L = 52€|52.00|ECCOM,DCOK,PSBP
Menu Family - 1 entrée + 2 Pizzas Medium + 1 Boisson 1,5L = 29€|29.00|PDES,EBCHE,DCOK
Menu Big One - 1 Cheesy Bread + 1 Pizza Medium + 1 Boisson 33cl (sauf Bière) = 15€|15.00|PDES,EBCHE,DCOK
20 Value or Traditional Pizzas, 10 x Garlic Bread, 10 x 1.25L Drinks from $210.95|210.95|P007D,S00001,D001A
2 Traditional Pizzas + Garlic Bread, 1.5L Pepsi MAX from $32.00|32.00|P007D,S00001,D101C
3 Traditional Pizzas + 2 Garlic Bread, 1.25L Coke from $37.95|37.95|P007D,S00001,D001A
Menu Duo - 1 Entrée (sauf Box) + 1 Pizza Large + 2 Boissons 33cl = 21€|21.00|PDES,EBCHE,DCOK
